Total Nacional	Comunidades y Ciudades Autónomas	Edad (año a año)	Españoles/Extranjeros	Sexo	Año	Total
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2005	1.968.280
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2004	1.915.540
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2003	1.894.868
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2002	1.843.755
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2001	1.781.366
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2000	1.716.276
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2022	585.402
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2021	584.507
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2020	582.905
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2019	581.078
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2018	580.229
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2017	580.295
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2016	582.206
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2015	585.179
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2014	588.656
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2013	591.888
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2012	593.861
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2011	593.121
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2010	592.250
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2009	589.235
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2008	582.138
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2007	572.824
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2006	568.091
