Total Nacional;Comunidades y Ciudades Autónomas;Tipo de indicador;periodo;Total
Total Nacional;01 Andalucía;- Pérdidas aparentes;2001;..
Total Nacional;01 Andalucía;- Pérdidas aparentes;2000;..
Total Nacional;02 Aragón;Volumen de agua suministrada a la red de abastecimiento público;2022;131.021
Total Nacional;02 Aragón;Volumen de agua suministrada a la red de abastecimiento público;2020;143.772
Total Nacional;02 Aragón;Volumen de agua suministrada a la red de abastecimiento público;2018;138.598
Total Nacional;02 Aragón;Volumen de agua suministrada a la red de abastecimiento público;2016;134.182
Total Nacional;02 Aragón;Volumen de agua suministrada a la red de abastecimiento público;2014;136.307
Total Nacional;02 Aragón;Volumen de agua suministrada a la red de abastecimiento público;2013;140.605
Total Nacional;02 Aragón;Volumen de agua suministrada a la red de abastecimiento público;2012;148.707
Total Nacional;02 Aragón;Volumen de agua suministrada a la red de abastecimiento público;2011;136.287
Total Nacional;02 Aragón;Volumen de agua suministrada a la red de abastecimiento público;2010;153.825
Total Nacional;02 Aragón;Volumen de agua suministrada a la red de abastecimiento público;2009;160.377
Total Nacional;02 Aragón;Volumen de agua suministrada a la red de abastecimiento público;2008;165.151
Total Nacional;02 Aragón;Volumen de agua suministrada a la red de abastecimiento público;2007;153.218
Total Nacional;02 Aragón;Volumen de agua suministrada a la red de abastecimiento público;2006;138.892
Total Nacional;02 Aragón;Volumen de agua suministrada a la red de abastecimiento público;2005;152.341
Total Nacional;02 Aragón;Volumen de agua suministrada a la red de abastecimiento público;2004;145.919
Total Nacional;02 Aragón;Volumen de agua suministrada a la red de abastecimiento público;2003;163.861
Total Nacional;02 Aragón;Volumen de agua suministrada a la red de abastecimiento público;2002;160.506
Total Nacional;02 Aragón;Volumen de agua suministrada a la red de abastecimiento público;2001;160.117
Total Nacional;02 Aragón;Volumen de agua suministrada a la red de abastecimiento público;2000;172.024
Total Nacional;02 Aragón;1. Volumen total de agua registrada y distribuida por tipo de usuario;2022;92.628
Total Nacional;02 Aragón;1. Volumen total de agua registrada y distribuida por tipo de usuario;2020;97.701
Total Nacional;02 Aragón;1. Volumen total de agua registrada y distribuida por tipo de usuario;2018;101.723
Total Nacional;02 Aragón;1. Volumen total de agua registrada y distribuida por tipo de usuario;2016;102.785
Total Nacional;02 Aragón;1. Volumen total de agua registrada y distribuida por tipo de usuario;2014;97.052
Total Nacional;02 Aragón;1. Volumen total de agua registrada y distribuida por tipo de usuario;2013;95.406
Total Nacional;02 Aragón;1. Volumen total de agua registrada y distribuida por tipo de usuario;2012;106.036
Total Nacional;02 Aragón;1. Volumen total de agua registrada y distribuida por tipo de usuario;2011;97.449
Total Nacional;02 Aragón;1. Volumen total de agua registrada y distribuida por tipo de usuario;2010;104.256
Total Nacional;02 Aragón;1. Volumen total de agua registrada y distribuida por tipo de usuario;2009;108.516
Total Nacional;02 Aragón;1. Volumen total de agua registrada y distribuida por tipo de usuario;2008;113.256
Total Nacional;02 Aragón;1. Volumen total de agua registrada y distribuida por tipo de usuario;2007;101.814
Total Nacional;02 Aragón;1. Volumen total de agua registrada y distribuida por tipo de usuario;2006;111.741
Total Nacional;02 Aragón;1. Volumen total de agua registrada y distribuida por tipo de usuario;2005;115.627
Total Nacional;02 Aragón;1. Volumen total de agua registrada y distribuida por tipo de usuario;2004;113.896
Total Nacional;02 Aragón;1. Volumen total de agua registrada y distribuida por tipo de usuario;2003;125.300
Total Nacional;02 Aragón;1. Volumen total de agua registrada y distribuida por tipo de usuario;2002;116.030
Total Nacional;02 Aragón;1. Volumen total de agua registrada y distribuida por tipo de usuario;2001;108.990
Total Nacional;02 Aragón;1. Volumen total de agua registrada y distribuida por tipo de usuario;2000;110.567
Total Nacional;02 Aragón;2. Volumen de agua no registrada;2022;38.393
Total Nacional;02 Aragón;2. Volumen de agua no registrada;2020;46.071
