Total Nacional;Comunidades y Ciudades Autónomas;Tipo de captación;periodo;Total
Total Nacional;02 Aragón;Aguas superficiales;2011;86.126
Total Nacional;02 Aragón;Aguas superficiales;2010;86.070
Total Nacional;02 Aragón;Aguas superficiales;2009;94.694
Total Nacional;02 Aragón;Aguas superficiales;2008;76.357
Total Nacional;02 Aragón;Aguas superficiales;2007;63.773
Total Nacional;02 Aragón;Aguas superficiales;2006;64.740
Total Nacional;02 Aragón;Aguas superficiales;2005;117.217
Total Nacional;02 Aragón;Aguas superficiales;2004;95.299
Total Nacional;02 Aragón;Aguas superficiales;2003;92.345
Total Nacional;02 Aragón;Aguas superficiales;2002;65.707
Total Nacional;02 Aragón;Aguas superficiales;2001;54.551
Total Nacional;02 Aragón;Aguas superficiales;2000;51.142
Total Nacional;02 Aragón;Aguas subterráneas;2022;3.870
Total Nacional;02 Aragón;Aguas subterráneas;2020;5.856
Total Nacional;02 Aragón;Aguas subterráneas;2018;9.294
Total Nacional;02 Aragón;Aguas subterráneas;2016;10.141
Total Nacional;02 Aragón;Aguas subterráneas;2014;14.677
Total Nacional;02 Aragón;Aguas subterráneas;2013;2.702
Total Nacional;02 Aragón;Aguas subterráneas;2012;6.473
Total Nacional;02 Aragón;Aguas subterráneas;2011;7.186
Total Nacional;02 Aragón;Aguas subterráneas;2010;8.729
Total Nacional;02 Aragón;Aguas subterráneas;2009;8.862
Total Nacional;02 Aragón;Aguas subterráneas;2008;9.060
Total Nacional;02 Aragón;Aguas subterráneas;2007;11.335
Total Nacional;02 Aragón;Aguas subterráneas;2006;5.431
Total Nacional;02 Aragón;Aguas subterráneas;2005;9.049
Total Nacional;02 Aragón;Aguas subterráneas;2004;12.816
Total Nacional;02 Aragón;Aguas subterráneas;2003;13.136
Total Nacional;02 Aragón;Aguas subterráneas;2002;10.898
Total Nacional;02 Aragón;Aguas subterráneas;2001;10.709
Total Nacional;02 Aragón;Aguas subterráneas;2000;9.459
Total Nacional;02 Aragón;Desalación;2022;0
Total Nacional;02 Aragón;Desalación;2020;0
Total Nacional;02 Aragón;Desalación;2018;0
Total Nacional;02 Aragón;Desalación;2016;0
Total Nacional;02 Aragón;Desalación;2014;0
Total Nacional;02 Aragón;Desalación;2013;0
Total Nacional;02 Aragón;Desalación;2012;0
Total Nacional;02 Aragón;Desalación;2011;0
Total Nacional;02 Aragón;Desalación;2010;0
Total Nacional;02 Aragón;Desalación;2009;0
Total Nacional;02 Aragón;Desalación;2008;0
Total Nacional;02 Aragón;Desalación;2007;0
Total Nacional;02 Aragón;Desalación;2006;0
Total Nacional;02 Aragón;Desalación;2005;0
Total Nacional;02 Aragón;Desalación;2004;0
Total Nacional;02 Aragón;Desalación;2003;0
Total Nacional;02 Aragón;Desalación;2002;0
Total Nacional;02 Aragón;Desalación;2001;0
Total Nacional;02 Aragón;Desalación;2000;0
Total Nacional;03 Asturias, Principado de;Total;2022;102.168
Total Nacional;03 Asturias, Principado de;Total;2020;91.023
Total Nacional;03 Asturias, Principado de;Total;2018;73.899
Total Nacional;03 Asturias, Principado de;Total;2016;97.907
Total Nacional;03 Asturias, Principado de;Total;2014;161.706
Total Nacional;03 Asturias, Principado de;Total;2013;207.539
Total Nacional;03 Asturias, Principado de;Total;2012;147.135
Total Nacional;03 Asturias, Principado de;Total;2011;149.213
Total Nacional;03 Asturias, Principado de;Total;2010;158.505
Total Nacional;03 Asturias, Principado de;Total;2009;151.757
Total Nacional;03 Asturias, Principado de;Total;2008;128.118
Total Nacional;03 Asturias, Principado de;Total;2007;122.445
Total Nacional;03 Asturias, Principado de;Total;2006;84.198
Total Nacional;03 Asturias, Principado de;Total;2005;130.126
Total Nacional;03 Asturias, Principado de;Total;2004;116.525
Total Nacional;03 Asturias, Principado de;Total;2003;91.384
Total Nacional;03 Asturias, Principado de;Total;2002;89.914
Total Nacional;03 Asturias, Principado de;Total;2001;87.224
Total Nacional;03 Asturias, Principado de;Total;2000;79.780
Total Nacional;03 Asturias, Principado de;Aguas superficiales;2022;72.202
Total Nacional;03 Asturias, Principado de;Aguas superficiales;2020;64.539
Total Nacional;03 Asturias, Principado de;Aguas superficiales;2018;65.368
Total Nacional;03 Asturias, Principado de;Aguas superficiales;2016;74.613
Total Nacional;03 Asturias, Principado de;Aguas superficiales;2014;140.236
Total Nacional;03 Asturias, Principado de;Aguas superficiales;2013;178.431
Total Nacional;03 Asturias, Principado de;Aguas superficiales;2012;119.296
Total Nacional;03 Asturias, Principado de;Aguas superficiales;2011;140.305
Total Nacional;03 Asturias, Principado de;Aguas superficiales;2010;147.373
Total Nacional;03 Asturias, Principado de;Aguas superficiales;2009;138.156
Total Nacional;03 Asturias, Principado de;Aguas superficiales;2008;107.628
Total Nacional;03 Asturias, Principado de;Aguas superficiales;2007;101.065
Total Nacional;03 Asturias, Principado de;Aguas superficiales;2006;63.002
Total Nacional;03 Asturias, Principado de;Aguas superficiales;2005;95.747
Total Nacional;03 Asturias, Principado de;Aguas superficiales;2004;96.262
Total Nacional;03 Asturias, Principado de;Aguas superficiales;2003;76.349
Total Nacional;03 Asturias, Principado de;Aguas superficiales;2002;77.202
Total Nacional;03 Asturias, Principado de;Aguas superficiales;2001;76.129
Total Nacional;03 Asturias, Principado de;Aguas superficiales;2000;67.676
Total Nacional;03 Asturias, Principado de;Aguas subterráneas;2022;29.967
Total Nacional;03 Asturias, Principado de;Aguas subterráneas;2020;26.484
Total Nacional;03 Asturias, Principado de;Aguas subterráneas;2018;8.531
Total Nacional;03 Asturias, Principado de;Aguas subterráneas;2016;23.294
Total Nacional;03 Asturias, Principado de;Aguas subterráneas;2014;21.470
Total Nacional;03 Asturias, Principado de;Aguas subterráneas;2013;29.108
Total Nacional;03 Asturias, Principado de;Aguas subterráneas;2012;27.839
Total Nacional;03 Asturias, Principado de;Aguas subterráneas;2011;8.908
Total Nacional;03 Asturias, Principado de;Aguas subterráneas;2010;11.132
Total Nacional;03 Asturias, Principado de;Aguas subterráneas;2009;13.601
Total Nacional;03 Asturias, Principado de;Aguas subterráneas;2008;20.490
Total Nacional;03 Asturias, Principado de;Aguas subterráneas;2007;21.380
Total Nacional;03 Asturias, Principado de;Aguas subterráneas;2006;21.196
Total Nacional;03 Asturias, Principado de;Aguas subterráneas;2005;34.379
Total Nacional;03 Asturias, Principado de;Aguas subterráneas;2004;20.263
Total Nacional;03 Asturias, Principado de;Aguas subterráneas;2003;15.035
Total Nacional;03 Asturias, Principado de;Aguas subterráneas;2002;12.592
Total Nacional;03 Asturias, Principado de;Aguas subterráneas;2001;11.095
Total Nacional;03 Asturias, Principado de;Aguas subterráneas;2000;12.104
Total Nacional;03 Asturias, Principado de;Desalación;2022;0
Total Nacional;03 Asturias, Principado de;Desalación;2020;0
Total Nacional;03 Asturias, Principado de;Desalación;2018;0
Total Nacional;03 Asturias, Principado de;Desalación;2016;0
Total Nacional;03 Asturias, Principado de;Desalación;2014;0
Total Nacional;03 Asturias, Principado de;Desalación;2013;0
Total Nacional;03 Asturias, Principado de;Desalación;2012;0
Total Nacional;03 Asturias, Principado de;Desalación;2011;0
Total Nacional;03 Asturias, Principado de;Desalación;2010;0
Total Nacional;03 Asturias, Principado de;Desalación;2009;0
Total Nacional;03 Asturias, Principado de;Desalación;2008;0
Total Nacional;03 Asturias, Principado de;Desalación;2007;0
Total Nacional;03 Asturias, Principado de;Desalación;2006;0
Total Nacional;03 Asturias, Principado de;Desalación;2005;0
Total Nacional;03 Asturias, Principado de;Desalación;2004;0
Total Nacional;03 Asturias, Principado de;Desalación;2003;0
Total Nacional;03 Asturias, Principado de;Desalación;2002;120
Total Nacional;03 Asturias, Principado de;Desalación;2001;0
Total Nacional;03 Asturias, Principado de;Desalación;2000;0
Total Nacional;04 Balears, Illes;Total;2022;71.556
Total Nacional;04 Balears, Illes;Total;2020;75.897
Total Nacional;04 Balears, Illes;Total;2018;96.072
Total Nacional;04 Balears, Illes;Total;2016;92.817
Total Nacional;04 Balears, Illes;Total;2014;110.406
Total Nacional;04 Balears, Illes;Total;2013;108.873
Total Nacional;04 Balears, Illes;Total;2012;61.926
Total Nacional;04 Balears, Illes;Total;2011;69.586
Total Nacional;04 Balears, Illes;Total;2010;80.421
Total Nacional;04 Balears, Illes;Total;2009;79.502
Total Nacional;04 Balears, Illes;Total;2008;86.700
Total Nacional;04 Balears, Illes;Total;2007;81.271
Total Nacional;04 Balears, Illes;Total;2006;74.892
Total Nacional;04 Balears, Illes;Total;2005;85.626
Total Nacional;04 Balears, Illes;Total;2004;87.807
Total Nacional;04 Balears, Illes;Total;2003;67.102
Total Nacional;04 Balears, Illes;Total;2002;68.206
Total Nacional;04 Balears, Illes;Total;2001;61.732
Total Nacional;04 Balears, Illes;Total;2000;76.210
Total Nacional;04 Balears, Illes;Aguas superficiales;2022;14.785
