Total Nacional;Comunidades y Ciudades Autónomas;Tipo de captación;periodo;Total
Total Nacional;12 Galicia;Aguas subterráneas;2022;29.361
Total Nacional;12 Galicia;Aguas subterráneas;2020;17.479
Total Nacional;12 Galicia;Aguas subterráneas;2018;18.259
Total Nacional;12 Galicia;Aguas subterráneas;2016;11.211
Total Nacional;12 Galicia;Aguas subterráneas;2014;20.171
Total Nacional;12 Galicia;Aguas subterráneas;2013;30.506
Total Nacional;12 Galicia;Aguas subterráneas;2012;24.671
Total Nacional;12 Galicia;Aguas subterráneas;2011;11.948
Total Nacional;12 Galicia;Aguas subterráneas;2010;5.177
Total Nacional;12 Galicia;Aguas subterráneas;2009;8.069
Total Nacional;12 Galicia;Aguas subterráneas;2008;11.940
Total Nacional;12 Galicia;Aguas subterráneas;2007;16.022
Total Nacional;12 Galicia;Aguas subterráneas;2006;36.779
Total Nacional;12 Galicia;Aguas subterráneas;2005;11.879
Total Nacional;12 Galicia;Aguas subterráneas;2004;30.614
Total Nacional;12 Galicia;Aguas subterráneas;2003;72.606
Total Nacional;12 Galicia;Aguas subterráneas;2002;50.247
Total Nacional;12 Galicia;Aguas subterráneas;2001;29.760
Total Nacional;12 Galicia;Aguas subterráneas;2000;34.667
Total Nacional;12 Galicia;Desalación;2022;0
Total Nacional;12 Galicia;Desalación;2020;0
Total Nacional;12 Galicia;Desalación;2018;0
Total Nacional;12 Galicia;Desalación;2016;0
Total Nacional;12 Galicia;Desalación;2014;0
Total Nacional;12 Galicia;Desalación;2013;0
Total Nacional;12 Galicia;Desalación;2012;0
Total Nacional;12 Galicia;Desalación;2011;0
Total Nacional;12 Galicia;Desalación;2010;0
Total Nacional;12 Galicia;Desalación;2009;0
Total Nacional;12 Galicia;Desalación;2008;0
Total Nacional;12 Galicia;Desalación;2007;0
Total Nacional;12 Galicia;Desalación;2006;0
Total Nacional;12 Galicia;Desalación;2005;0
Total Nacional;12 Galicia;Desalación;2004;0
Total Nacional;12 Galicia;Desalación;2003;0
Total Nacional;12 Galicia;Desalación;2002;0
Total Nacional;12 Galicia;Desalación;2001;0
Total Nacional;12 Galicia;Desalación;2000;0
Total Nacional;13 Madrid, Comunidad de;Total;2022;496.965
Total Nacional;13 Madrid, Comunidad de;Total;2020;491.489
Total Nacional;13 Madrid, Comunidad de;Total;2018;479.871
Total Nacional;13 Madrid, Comunidad de;Total;2016;488.107
Total Nacional;13 Madrid, Comunidad de;Total;2014;497.023
Total Nacional;13 Madrid, Comunidad de;Total;2013;499.229
Total Nacional;13 Madrid, Comunidad de;Total;2012;529.064
Total Nacional;13 Madrid, Comunidad de;Total;2011;554.955
Total Nacional;13 Madrid, Comunidad de;Total;2010;538.918
Total Nacional;13 Madrid, Comunidad de;Total;2009;558.961
Total Nacional;13 Madrid, Comunidad de;Total;2008;561.008
Total Nacional;13 Madrid, Comunidad de;Total;2007;573.471
Total Nacional;13 Madrid, Comunidad de;Total;2006;636.492
Total Nacional;13 Madrid, Comunidad de;Total;2005;650.420
Total Nacional;13 Madrid, Comunidad de;Total;2004;662.176
Total Nacional;13 Madrid, Comunidad de;Total;2003;670.955
Total Nacional;13 Madrid, Comunidad de;Total;2002;621.029
Total Nacional;13 Madrid, Comunidad de;Total;2001;630.208
Total Nacional;13 Madrid, Comunidad de;Total;2000;605.600
Total Nacional;13 Madrid, Comunidad de;Aguas superficiales;2022;494.301
Total Nacional;13 Madrid, Comunidad de;Aguas superficiales;2020;488.536
Total Nacional;13 Madrid, Comunidad de;Aguas superficiales;2018;478.792
Total Nacional;13 Madrid, Comunidad de;Aguas superficiales;2016;481.503
Total Nacional;13 Madrid, Comunidad de;Aguas superficiales;2014;488.737
Total Nacional;13 Madrid, Comunidad de;Aguas superficiales;2013;483.435
Total Nacional;13 Madrid, Comunidad de;Aguas superficiales;2012;510.832
Total Nacional;13 Madrid, Comunidad de;Aguas superficiales;2011;542.987
Total Nacional;13 Madrid, Comunidad de;Aguas superficiales;2010;519.698
Total Nacional;13 Madrid, Comunidad de;Aguas superficiales;2009;553.374
Total Nacional;13 Madrid, Comunidad de;Aguas superficiales;2008;546.712
Total Nacional;13 Madrid, Comunidad de;Aguas superficiales;2007;554.568
Total Nacional;13 Madrid, Comunidad de;Aguas superficiales;2006;489.790
Total Nacional;13 Madrid, Comunidad de;Aguas superficiales;2005;583.340
Total Nacional;13 Madrid, Comunidad de;Aguas superficiales;2004;622.810
Total Nacional;13 Madrid, Comunidad de;Aguas superficiales;2003;650.312
Total Nacional;13 Madrid, Comunidad de;Aguas superficiales;2002;561.410
Total Nacional;13 Madrid, Comunidad de;Aguas superficiales;2001;622.459
Total Nacional;13 Madrid, Comunidad de;Aguas superficiales;2000;570.341
Total Nacional;13 Madrid, Comunidad de;Aguas subterráneas;2022;2.663
Total Nacional;13 Madrid, Comunidad de;Aguas subterráneas;2020;2.953
Total Nacional;13 Madrid, Comunidad de;Aguas subterráneas;2018;1.079
Total Nacional;13 Madrid, Comunidad de;Aguas subterráneas;2016;6.604
Total Nacional;13 Madrid, Comunidad de;Aguas subterráneas;2014;8.286
Total Nacional;13 Madrid, Comunidad de;Aguas subterráneas;2013;15.794
Total Nacional;13 Madrid, Comunidad de;Aguas subterráneas;2012;18.232
Total Nacional;13 Madrid, Comunidad de;Aguas subterráneas;2011;11.968
Total Nacional;13 Madrid, Comunidad de;Aguas subterráneas;2010;19.220
Total Nacional;13 Madrid, Comunidad de;Aguas subterráneas;2009;5.587
Total Nacional;13 Madrid, Comunidad de;Aguas subterráneas;2008;14.296
Total Nacional;13 Madrid, Comunidad de;Aguas subterráneas;2007;18.903
Total Nacional;13 Madrid, Comunidad de;Aguas subterráneas;2006;146.702
Total Nacional;13 Madrid, Comunidad de;Aguas subterráneas;2005;67.080
Total Nacional;13 Madrid, Comunidad de;Aguas subterráneas;2004;39.366
Total Nacional;13 Madrid, Comunidad de;Aguas subterráneas;2003;20.643
Total Nacional;13 Madrid, Comunidad de;Aguas subterráneas;2002;59.619
Total Nacional;13 Madrid, Comunidad de;Aguas subterráneas;2001;7.749
Total Nacional;13 Madrid, Comunidad de;Aguas subterráneas;2000;35.259
Total Nacional;13 Madrid, Comunidad de;Desalación;2022;0
Total Nacional;13 Madrid, Comunidad de;Desalación;2020;0
Total Nacional;13 Madrid, Comunidad de;Desalación;2018;0
Total Nacional;13 Madrid, Comunidad de;Desalación;2016;0
Total Nacional;13 Madrid, Comunidad de;Desalación;2014;0
Total Nacional;13 Madrid, Comunidad de;Desalación;2013;0
Total Nacional;13 Madrid, Comunidad de;Desalación;2012;0
Total Nacional;13 Madrid, Comunidad de;Desalación;2011;0
Total Nacional;13 Madrid, Comunidad de;Desalación;2010;0
Total Nacional;13 Madrid, Comunidad de;Desalación;2009;0
Total Nacional;13 Madrid, Comunidad de;Desalación;2008;0
Total Nacional;13 Madrid, Comunidad de;Desalación;2007;0
Total Nacional;13 Madrid, Comunidad de;Desalación;2006;0
Total Nacional;13 Madrid, Comunidad de;Desalación;2005;0
Total Nacional;13 Madrid, Comunidad de;Desalación;2004;0
Total Nacional;13 Madrid, Comunidad de;Desalación;2003;0
Total Nacional;13 Madrid, Comunidad de;Desalación;2002;0
Total Nacional;13 Madrid, Comunidad de;Desalación;2001;0
Total Nacional;13 Madrid, Comunidad de;Desalación;2000;0
Total Nacional;14 Murcia, Región de;Total;2022;16.854
Total Nacional;14 Murcia, Región de;Total;2020;14.123
Total Nacional;14 Murcia, Región de;Total;2018;15.440
Total Nacional;14 Murcia, Región de;Total;2016;14.608
Total Nacional;14 Murcia, Región de;Total;2014;12.675
Total Nacional;14 Murcia, Región de;Total;2013;11.979
Total Nacional;14 Murcia, Región de;Total;2012;10.472
Total Nacional;14 Murcia, Región de;Total;2011;15.532
Total Nacional;14 Murcia, Región de;Total;2010;17.215
Total Nacional;14 Murcia, Región de;Total;2009;17.512
Total Nacional;14 Murcia, Región de;Total;2008;31.953
Total Nacional;14 Murcia, Región de;Total;2007;75.874
Total Nacional;14 Murcia, Región de;Total;2006;35.562
Total Nacional;14 Murcia, Región de;Total;2005;43.133
Total Nacional;14 Murcia, Región de;Total;2004;52.933
Total Nacional;14 Murcia, Región de;Total;2003;62.867
Total Nacional;14 Murcia, Región de;Total;2002;64.329
Total Nacional;14 Murcia, Región de;Total;2001;77.316
Total Nacional;14 Murcia, Región de;Total;2000;43.880
Total Nacional;14 Murcia, Región de;Aguas superficiales;2022;8.372
Total Nacional;14 Murcia, Región de;Aguas superficiales;2020;6.310
Total Nacional;14 Murcia, Región de;Aguas superficiales;2018;7.128
Total Nacional;14 Murcia, Región de;Aguas superficiales;2016;7.711
Total Nacional;14 Murcia, Región de;Aguas superficiales;2014;4.379
Total Nacional;14 Murcia, Región de;Aguas superficiales;2013;3.237
Total Nacional;14 Murcia, Región de;Aguas superficiales;2012;3.015
Total Nacional;14 Murcia, Región de;Aguas superficiales;2011;12.145
Total Nacional;14 Murcia, Región de;Aguas superficiales;2010;14.117
Total Nacional;14 Murcia, Región de;Aguas superficiales;2009;11.861
Total Nacional;14 Murcia, Región de;Aguas superficiales;2008;26.375
Total Nacional;14 Murcia, Región de;Aguas superficiales;2007;69.709
Total Nacional;14 Murcia, Región de;Aguas superficiales;2006;27.967
Total Nacional;14 Murcia, Región de;Aguas superficiales;2005;33.308
Total Nacional;14 Murcia, Región de;Aguas superficiales;2004;39.683
Total Nacional;14 Murcia, Región de;Aguas superficiales;2003;45.165
Total Nacional;14 Murcia, Región de;Aguas superficiales;2002;50.258
Total Nacional;14 Murcia, Región de;Aguas superficiales;2001;56.327
Total Nacional;14 Murcia, Región de;Aguas superficiales;2000;30.594
Total Nacional;14 Murcia, Región de;Aguas subterráneas;2022;3.118
Total Nacional;14 Murcia, Región de;Aguas subterráneas;2020;7.813
Total Nacional;14 Murcia, Región de;Aguas subterráneas;2018;8.312
Total Nacional;14 Murcia, Región de;Aguas subterráneas;2016;6.897
Total Nacional;14 Murcia, Región de;Aguas subterráneas;2014;8.296
Total Nacional;14 Murcia, Región de;Aguas subterráneas;2013;8.742
Total Nacional;14 Murcia, Región de;Aguas subterráneas;2012;7.457
Total Nacional;14 Murcia, Región de;Aguas subterráneas;2011;3.387
Total Nacional;14 Murcia, Región de;Aguas subterráneas;2010;3.098
Total Nacional;14 Murcia, Región de;Aguas subterráneas;2009;5.651
Total Nacional;14 Murcia, Región de;Aguas subterráneas;2008;5.578
Total Nacional;14 Murcia, Región de;Aguas subterráneas;2007;6.165
Total Nacional;14 Murcia, Región de;Aguas subterráneas;2006;7.595
Total Nacional;14 Murcia, Región de;Aguas subterráneas;2005;9.825
Total Nacional;14 Murcia, Región de;Aguas subterráneas;2004;12.532
Total Nacional;14 Murcia, Región de;Aguas subterráneas;2003;16.974
Total Nacional;14 Murcia, Región de;Aguas subterráneas;2002;13.602
Total Nacional;14 Murcia, Región de;Aguas subterráneas;2001;20.240
Total Nacional;14 Murcia, Región de;Aguas subterráneas;2000;13.286
Total Nacional;14 Murcia, Región de;Desalación;2022;5.365
Total Nacional;14 Murcia, Región de;Desalación;2020;0
Total Nacional;14 Murcia, Región de;Desalación;2018;0
Total Nacional;14 Murcia, Región de;Desalación;2016;0
Total Nacional;14 Murcia, Región de;Desalación;2014;0
Total Nacional;14 Murcia, Región de;Desalación;2013;0
Total Nacional;14 Murcia, Región de;Desalación;2012;0
Total Nacional;14 Murcia, Región de;Desalación;2011;0
Total Nacional;14 Murcia, Región de;Desalación;2010;0
Total Nacional;14 Murcia, Región de;Desalación;2009;0
Total Nacional;14 Murcia, Región de;Desalación;2008;0
Total Nacional;14 Murcia, Región de;Desalación;2007;0
Total Nacional;14 Murcia, Región de;Desalación;2006;0
Total Nacional;14 Murcia, Región de;Desalación;2005;0
Total Nacional;14 Murcia, Región de;Desalación;2004;718
Total Nacional;14 Murcia, Región de;Desalación;2003;728
Total Nacional;14 Murcia, Región de;Desalación;2002;469
Total Nacional;14 Murcia, Región de;Desalación;2001;749
Total Nacional;14 Murcia, Región de;Desalación;2000;0
Total Nacional;15 Navarra, Comunidad Foral de;Total;2022;85.727
Total Nacional;15 Navarra, Comunidad Foral de;Total;2020;64.852
Total Nacional;15 Navarra, Comunidad Foral de;Total;2018;65.045
Total Nacional;15 Navarra, Comunidad Foral de;Total;2016;120.297
Total Nacional;15 Navarra, Comunidad Foral de;Total;2014;53.020
Total Nacional;15 Navarra, Comunidad Foral de;Total;2013;55.524
Total Nacional;15 Navarra, Comunidad Foral de;Total;2012;63.103
Total Nacional;15 Navarra, Comunidad Foral de;Total;2011;76.606
Total Nacional;15 Navarra, Comunidad Foral de;Total;2010;53.376
Total Nacional;15 Navarra, Comunidad Foral de;Total;2009;48.540
Total Nacional;15 Navarra, Comunidad Foral de;Total;2008;68.008
Total Nacional;15 Navarra, Comunidad Foral de;Total;2007;61.458
Total Nacional;15 Navarra, Comunidad Foral de;Total;2006;69.459
Total Nacional;15 Navarra, Comunidad Foral de;Total;2005;73.010
Total Nacional;15 Navarra, Comunidad Foral de;Total;2004;58.992
Total Nacional;15 Navarra, Comunidad Foral de;Total;2003;76.528
Total Nacional;15 Navarra, Comunidad Foral de;Total;2002;70.206
Total Nacional;15 Navarra, Comunidad Foral de;Total;2001;68.029
Total Nacional;15 Navarra, Comunidad Foral de;Total;2000;67.527
Total Nacional;15 Navarra, Comunidad Foral de;Aguas superficiales;2022;38.669
Total Nacional;15 Navarra, Comunidad Foral de;Aguas superficiales;2020;46.386
Total Nacional;15 Navarra, Comunidad Foral de;Aguas superficiales;2018;27.466
Total Nacional;15 Navarra, Comunidad Foral de;Aguas superficiales;2016;60.104
Total Nacional;15 Navarra, Comunidad Foral de;Aguas superficiales;2014;17.313
Total Nacional;15 Navarra, Comunidad Foral de;Aguas superficiales;2013;19.528
Total Nacional;15 Navarra, Comunidad Foral de;Aguas superficiales;2012;20.810
Total Nacional;15 Navarra, Comunidad Foral de;Aguas superficiales;2011;26.706
Total Nacional;15 Navarra, Comunidad Foral de;Aguas superficiales;2010;17.954
Total Nacional;15 Navarra, Comunidad Foral de;Aguas superficiales;2009;25.085
Total Nacional;15 Navarra, Comunidad Foral de;Aguas superficiales;2008;32.225
Total Nacional;15 Navarra, Comunidad Foral de;Aguas superficiales;2007;26.429
Total Nacional;15 Navarra, Comunidad Foral de;Aguas superficiales;2006;26.547
Total Nacional;15 Navarra, Comunidad Foral de;Aguas superficiales;2005;33.523
Total Nacional;15 Navarra, Comunidad Foral de;Aguas superficiales;2004;26.246
Total Nacional;15 Navarra, Comunidad Foral de;Aguas superficiales;2003;37.353
Total Nacional;15 Navarra, Comunidad Foral de;Aguas superficiales;2002;31.189
Total Nacional;15 Navarra, Comunidad Foral de;Aguas superficiales;2001;41.534
Total Nacional;15 Navarra, Comunidad Foral de;Aguas superficiales;2000;40.344
Total Nacional;15 Navarra, Comunidad Foral de;Aguas subterráneas;2022;47.058
Total Nacional;15 Navarra, Comunidad Foral de;Aguas subterráneas;2020;18.466
Total Nacional;15 Navarra, Comunidad Foral de;Aguas subterráneas;2018;37.579
Total Nacional;15 Navarra, Comunidad Foral de;Aguas subterráneas;2016;60.193
Total Nacional;15 Navarra, Comunidad Foral de;Aguas subterráneas;2014;35.707
Total Nacional;15 Navarra, Comunidad Foral de;Aguas subterráneas;2013;35.996
Total Nacional;15 Navarra, Comunidad Foral de;Aguas subterráneas;2012;42.293
Total Nacional;15 Navarra, Comunidad Foral de;Aguas subterráneas;2011;49.900
Total Nacional;15 Navarra, Comunidad Foral de;Aguas subterráneas;2010;35.422
Total Nacional;15 Navarra, Comunidad Foral de;Aguas subterráneas;2009;23.455
Total Nacional;15 Navarra, Comunidad Foral de;Aguas subterráneas;2008;35.783
Total Nacional;15 Navarra, Comunidad Foral de;Aguas subterráneas;2007;35.029
Total Nacional;15 Navarra, Comunidad Foral de;Aguas subterráneas;2006;42.912
Total Nacional;15 Navarra, Comunidad Foral de;Aguas subterráneas;2005;39.487
Total Nacional;15 Navarra, Comunidad Foral de;Aguas subterráneas;2004;32.746
Total Nacional;15 Navarra, Comunidad Foral de;Aguas subterráneas;2003;39.175
Total Nacional;15 Navarra, Comunidad Foral de;Aguas subterráneas;2002;39.017
Total Nacional;15 Navarra, Comunidad Foral de;Aguas subterráneas;2001;26.495
Total Nacional;15 Navarra, Comunidad Foral de;Aguas subterráneas;2000;27.183
Total Nacional;15 Navarra, Comunidad Foral de;Desalación;2022;0
Total Nacional;15 Navarra, Comunidad Foral de;Desalación;2020;0
Total Nacional;15 Navarra, Comunidad Foral de;Desalación;2018;0
Total Nacional;15 Navarra, Comunidad Foral de;Desalación;2016;0
Total Nacional;15 Navarra, Comunidad Foral de;Desalación;2014;0
Total Nacional;15 Navarra, Comunidad Foral de;Desalación;2013;0
Total Nacional;15 Navarra, Comunidad Foral de;Desalación;2012;0
Total Nacional;15 Navarra, Comunidad Foral de;Desalación;2011;0
Total Nacional;15 Navarra, Comunidad Foral de;Desalación;2010;0
Total Nacional;15 Navarra, Comunidad Foral de;Desalación;2009;0
Total Nacional;15 Navarra, Comunidad Foral de;Desalación;2008;0
Total Nacional;15 Navarra, Comunidad Foral de;Desalación;2007;0
Total Nacional;15 Navarra, Comunidad Foral de;Desalación;2006;0
Total Nacional;15 Navarra, Comunidad Foral de;Desalación;2005;0
Total Nacional;15 Navarra, Comunidad Foral de;Desalación;2004;0
Total Nacional;15 Navarra, Comunidad Foral de;Desalación;2003;0
Total Nacional;15 Navarra, Comunidad Foral de;Desalación;2002;0
Total Nacional;15 Navarra, Comunidad Foral de;Desalación;2001;0
Total Nacional;15 Navarra, Comunidad Foral de;Desalación;2000;0
Total Nacional;16 País Vasco;Total;2022;275.424
Total Nacional;16 País Vasco;Total;2020;177.383
Total Nacional;16 País Vasco;Total;2018;182.046
Total Nacional;16 País Vasco;Total;2016;137.745
Total Nacional;16 País Vasco;Total;2014;210.173
Total Nacional;16 País Vasco;Total;2013;221.247
Total Nacional;16 País Vasco;Total;2012;172.632
Total Nacional;16 País Vasco;Total;2011;165.198
Total Nacional;16 País Vasco;Total;2010;187.157
Total Nacional;16 País Vasco;Total;2009;194.880
Total Nacional;16 País Vasco;Total;2008;223.644
Total Nacional;16 País Vasco;Total;2007;206.858
Total Nacional;16 País Vasco;Total;2006;218.272
Total Nacional;16 País Vasco;Total;2005;253.835
Total Nacional;16 País Vasco;Total;2004;285.251
Total Nacional;16 País Vasco;Total;2003;318.494
Total Nacional;16 País Vasco;Total;2002;310.034
Total Nacional;16 País Vasco;Total;2001;329.469
Total Nacional;16 País Vasco;Total;2000;244.038
Total Nacional;16 País Vasco;Aguas superficiales;2022;273.007
Total Nacional;16 País Vasco;Aguas superficiales;2020;166.548
Total Nacional;16 País Vasco;Aguas superficiales;2018;179.154
Total Nacional;16 País Vasco;Aguas superficiales;2016;133.460
Total Nacional;16 País Vasco;Aguas superficiales;2014;206.298
Total Nacional;16 País Vasco;Aguas superficiales;2013;205.079
Total Nacional;16 País Vasco;Aguas superficiales;2012;162.087
Total Nacional;16 País Vasco;Aguas superficiales;2011;154.274
Total Nacional;16 País Vasco;Aguas superficiales;2010;179.838
Total Nacional;16 País Vasco;Aguas superficiales;2009;188.281
Total Nacional;16 País Vasco;Aguas superficiales;2008;217.568
Total Nacional;16 País Vasco;Aguas superficiales;2007;200.943
Total Nacional;16 País Vasco;Aguas superficiales;2006;212.703
Total Nacional;16 País Vasco;Aguas superficiales;2005;233.518
Total Nacional;16 País Vasco;Aguas superficiales;2004;278.541
Total Nacional;16 País Vasco;Aguas superficiales;2003;282.200
Total Nacional;16 País Vasco;Aguas superficiales;2002;255.579
Total Nacional;16 País Vasco;Aguas superficiales;2001;260.715
Total Nacional;16 País Vasco;Aguas superficiales;2000;242.879
Total Nacional;16 País Vasco;Aguas subterráneas;2022;2.417
Total Nacional;16 País Vasco;Aguas subterráneas;2020;10.835
Total Nacional;16 País Vasco;Aguas subterráneas;2018;2.892
Total Nacional;16 País Vasco;Aguas subterráneas;2016;4.285
Total Nacional;16 País Vasco;Aguas subterráneas;2014;3.875
Total Nacional;16 País Vasco;Aguas subterráneas;2013;16.168
Total Nacional;16 País Vasco;Aguas subterráneas;2012;10.545
Total Nacional;16 País Vasco;Aguas subterráneas;2011;10.924
Total Nacional;16 País Vasco;Aguas subterráneas;2010;7.319
Total Nacional;16 País Vasco;Aguas subterráneas;2009;6.599
Total Nacional;16 País Vasco;Aguas subterráneas;2008;6.076
Total Nacional;16 País Vasco;Aguas subterráneas;2007;5.915
Total Nacional;16 País Vasco;Aguas subterráneas;2006;5.569
Total Nacional;16 País Vasco;Aguas subterráneas;2005;20.317
Total Nacional;16 País Vasco;Aguas subterráneas;2004;6.710
Total Nacional;16 País Vasco;Aguas subterráneas;2003;17.963
Total Nacional;16 País Vasco;Aguas subterráneas;2002;26.574
Total Nacional;16 País Vasco;Aguas subterráneas;2001;33.083
Total Nacional;16 País Vasco;Aguas subterráneas;2000;1.159
Total Nacional;16 País Vasco;Desalación;2022;0
Total Nacional;16 País Vasco;Desalación;2020;0
Total Nacional;16 País Vasco;Desalación;2018;0
Total Nacional;16 País Vasco;Desalación;2016;0
Total Nacional;16 País Vasco;Desalación;2014;0
Total Nacional;16 País Vasco;Desalación;2013;0
Total Nacional;16 País Vasco;Desalación;2012;0
Total Nacional;16 País Vasco;Desalación;2011;0
Total Nacional;16 País Vasco;Desalación;2010;0
Total Nacional;16 País Vasco;Desalación;2009;0
Total Nacional;16 País Vasco;Desalación;2008;0
Total Nacional;16 País Vasco;Desalación;2007;0
Total Nacional;16 País Vasco;Desalación;2006;0
Total Nacional;16 País Vasco;Desalación;2005;0
Total Nacional;16 País Vasco;Desalación;2004;0
Total Nacional;16 País Vasco;Desalación;2003;18.331
Total Nacional;16 País Vasco;Desalación;2002;27.881
Total Nacional;16 País Vasco;Desalación;2001;35.671
Total Nacional;16 País Vasco;Desalación;2000;0
Total Nacional;17 Rioja, La;Total;2022;26.446
Total Nacional;17 Rioja, La;Total;2020;41.194
Total Nacional;17 Rioja, La;Total;2018;47.524
Total Nacional;17 Rioja, La;Total;2016;41.672
Total Nacional;17 Rioja, La;Total;2014;43.427
Total Nacional;17 Rioja, La;Total;2013;57.909
Total Nacional;17 Rioja, La;Total;2012;48.748
Total Nacional;17 Rioja, La;Total;2011;49.252
Total Nacional;17 Rioja, La;Total;2010;49.425
Total Nacional;17 Rioja, La;Total;2009;53.475
Total Nacional;17 Rioja, La;Total;2008;62.857
Total Nacional;17 Rioja, La;Total;2007;36.557
Total Nacional;17 Rioja, La;Total;2006;40.379
Total Nacional;17 Rioja, La;Total;2005;46.457
Total Nacional;17 Rioja, La;Total;2004;40.700
Total Nacional;17 Rioja, La;Total;2003;43.887
Total Nacional;17 Rioja, La;Total;2002;50.511
Total Nacional;17 Rioja, La;Total;2001;44.854
Total Nacional;17 Rioja, La;Total;2000;46.820
Total Nacional;17 Rioja, La;Aguas superficiales;2022;18.128
Total Nacional;17 Rioja, La;Aguas superficiales;2020;33.725
Total Nacional;17 Rioja, La;Aguas superficiales;2018;26.724
Total Nacional;17 Rioja, La;Aguas superficiales;2016;21.203
Total Nacional;17 Rioja, La;Aguas superficiales;2014;26.096
Total Nacional;17 Rioja, La;Aguas superficiales;2013;32.389
Total Nacional;17 Rioja, La;Aguas superficiales;2012;24.455
Total Nacional;17 Rioja, La;Aguas superficiales;2011;30.988
Total Nacional;17 Rioja, La;Aguas superficiales;2010;44.207
Total Nacional;17 Rioja, La;Aguas superficiales;2009;46.339
Total Nacional;17 Rioja, La;Aguas superficiales;2008;56.557
Total Nacional;17 Rioja, La;Aguas superficiales;2007;25.768
Total Nacional;17 Rioja, La;Aguas superficiales;2006;25.666
Total Nacional;17 Rioja, La;Aguas superficiales;2005;26.823
Total Nacional;17 Rioja, La;Aguas superficiales;2004;37.957
Total Nacional;17 Rioja, La;Aguas superficiales;2003;41.431
Total Nacional;17 Rioja, La;Aguas superficiales;2002;48.944
Total Nacional;17 Rioja, La;Aguas superficiales;2001;44.647
Total Nacional;17 Rioja, La;Aguas superficiales;2000;46.709
Total Nacional;17 Rioja, La;Aguas subterráneas;2022;8.318
Total Nacional;17 Rioja, La;Aguas subterráneas;2020;7.469
Total Nacional;17 Rioja, La;Aguas subterráneas;2018;20.800
Total Nacional;17 Rioja, La;Aguas subterráneas;2016;20.469
Total Nacional;17 Rioja, La;Aguas subterráneas;2014;17.331
Total Nacional;17 Rioja, La;Aguas subterráneas;2013;25.520
Total Nacional;17 Rioja, La;Aguas subterráneas;2012;24.293
Total Nacional;17 Rioja, La;Aguas subterráneas;2011;18.264
Total Nacional;17 Rioja, La;Aguas subterráneas;2010;5.218
Total Nacional;17 Rioja, La;Aguas subterráneas;2009;7.136
Total Nacional;17 Rioja, La;Aguas subterráneas;2008;6.300
Total Nacional;17 Rioja, La;Aguas subterráneas;2007;10.789
Total Nacional;17 Rioja, La;Aguas subterráneas;2006;14.713
Total Nacional;17 Rioja, La;Aguas subterráneas;2005;19.634
Total Nacional;17 Rioja, La;Aguas subterráneas;2004;2.743
Total Nacional;17 Rioja, La;Aguas subterráneas;2003;2.456
Total Nacional;17 Rioja, La;Aguas subterráneas;2002;1.567
Total Nacional;17 Rioja, La;Aguas subterráneas;2001;207
Total Nacional;17 Rioja, La;Aguas subterráneas;2000;111
Total Nacional;17 Rioja, La;Desalación;2022;0
Total Nacional;17 Rioja, La;Desalación;2020;0
Total Nacional;17 Rioja, La;Desalación;2018;0
Total Nacional;17 Rioja, La;Desalación;2016;0
Total Nacional;17 Rioja, La;Desalación;2014;0
Total Nacional;17 Rioja, La;Desalación;2013;0
Total Nacional;17 Rioja, La;Desalación;2012;0
Total Nacional;17 Rioja, La;Desalación;2011;0
Total Nacional;17 Rioja, La;Desalación;2010;0
Total Nacional;17 Rioja, La;Desalación;2009;0
Total Nacional;17 Rioja, La;Desalación;2008;0
Total Nacional;17 Rioja, La;Desalación;2007;0
Total Nacional;17 Rioja, La;Desalación;2006;0
Total Nacional;17 Rioja, La;Desalación;2005;0
Total Nacional;17 Rioja, La;Desalación;2004;0
Total Nacional;17 Rioja, La;Desalación;2003;0
Total Nacional;17 Rioja, La;Desalación;2002;0
Total Nacional;17 Rioja, La;Desalación;2001;0
Total Nacional;17 Rioja, La;Desalación;2000;0
Ceuta y Melilla;;Total;2022;21.163
Ceuta y Melilla;;Total;2020;16.442
Ceuta y Melilla;;Total;2018;14.009
Ceuta y Melilla;;Total;2016;20.673
Ceuta y Melilla;;Total;2014;5.870
Ceuta y Melilla;;Total;2013;5.748
Ceuta y Melilla;;Total;2012;7.203
Ceuta y Melilla;;Total;2011;3.374
Ceuta y Melilla;;Total;2010;14.194
Ceuta y Melilla;;Total;2009;14.425
Ceuta y Melilla;;Total;2008;16.547
Ceuta y Melilla;;Total;2007;19.807
Ceuta y Melilla;;Total;2006;20.077
Ceuta y Melilla;;Total;2005;12.106
Ceuta y Melilla;;Total;2004;18.530
Ceuta y Melilla;;Total;2003;20.947
Ceuta y Melilla;;Total;2002;16.973
Ceuta y Melilla;;Total;2001;17.932
Ceuta y Melilla;;Total;2000;17.823
Ceuta y Melilla;;Aguas superficiales;2022;423
Ceuta y Melilla;;Aguas superficiales;2020;9.372
Ceuta y Melilla;;Aguas superficiales;2018;6.340
Ceuta y Melilla;;Aguas superficiales;2016;5.880
Ceuta y Melilla;;Aguas superficiales;2014;372
Ceuta y Melilla;;Aguas superficiales;2013;169
Ceuta y Melilla;;Aguas superficiales;2012;169
Ceuta y Melilla;;Aguas superficiales;2011;295
Ceuta y Melilla;;Aguas superficiales;2010;1.772
Ceuta y Melilla;;Aguas superficiales;2009;2.320
Ceuta y Melilla;;Aguas superficiales;2008;2.509
