Total Nacional;Comunidades y Ciudades Autónomas;Tipo de indicador;periodo;Total
Total Nacional;01 Andalucía;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2013;220.309
Total Nacional;01 Andalucía;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2012;242.048
Total Nacional;01 Andalucía;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2011;261.282
Total Nacional;01 Andalucía;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2010;..
Total Nacional;01 Andalucía;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2009;..
Total Nacional;01 Andalucía;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2008;..
Total Nacional;01 Andalucía;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2007;..
Total Nacional;01 Andalucía;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2006;..
Total Nacional;01 Andalucía;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2005;..
Total Nacional;01 Andalucía;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2004;..
Total Nacional;01 Andalucía;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2003;..
Total Nacional;01 Andalucía;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2002;..
Total Nacional;01 Andalucía;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2001;..
Total Nacional;01 Andalucía;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2000;..
Total Nacional;02 Aragón;Volumen de aguas residuales tratadas;2022;586.480
Total Nacional;02 Aragón;Volumen de aguas residuales tratadas;2020;533.675
Total Nacional;02 Aragón;Volumen de aguas residuales tratadas;2018;478.592
Total Nacional;02 Aragón;Volumen de aguas residuales tratadas;2016;526.337
Total Nacional;02 Aragón;Volumen de aguas residuales tratadas;2014;552.592
Total Nacional;02 Aragón;Volumen de aguas residuales tratadas;2013;557.871
Total Nacional;02 Aragón;Volumen de aguas residuales tratadas;2012;512.896
Total Nacional;02 Aragón;Volumen de aguas residuales tratadas;2011;549.061
